CIK,Header,Product,Date,Amount
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016,
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016,1
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016,5
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016,
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016,(17)
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Jun  30  2016, 
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016,
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016,
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 1 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016,
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 2 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016,
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Derivative [Member] | Level 3 [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Jun  30  2016, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,(80)
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,57
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,(174)
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,3
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016, 
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,1
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,(4)
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,(1)
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016,7
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016, 
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016, 
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016, 
874761,Other Comprehensive Income- Foreign currency translation activity [Member] | Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Other Comprehensive Income (Loss)",Jun  30  2016, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis with Unobservable Inputs","
Mar  31  2016 
USD ($)",$ (416)
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis with Unobservable Inputs","
Mar  31  2016 
USD ($)",(304)
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis with Unobservable Inputs","
Mar  31  2016 
USD ($)",(302)
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis with Unobservable Inputs","
Mar  31  2016 
USD ($)",(210)
874761,Interest Rate Contract [Member] | Minimum [Member],Fair Value Inputs [Abstract],"
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Minimum [Member],Fair Value Inputs [Abstract],"
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Minimum [Member],Fair Value Inputs [Abstract],"
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Minimum [Member],Fair Value Inputs [Abstract],"
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Maximum [Member],"Fair Value Inputs, Entity Credit Risk","
Mar  31  2016 
USD ($)",9.70%
874761,Interest Rate Contract [Member] | Maximum [Member],"Fair Value Inputs, Entity Credit Risk","
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Maximum [Member],"Fair Value Inputs, Entity Credit Risk","
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Maximum [Member],"Fair Value Inputs, Entity Credit Risk","
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Weighted Average [Member],Fair Value Inputs [Abstract],"
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Weighted Average [Member],Fair Value Inputs [Abstract],"
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Weighted Average [Member],Fair Value Inputs [Abstract],"
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member] | Weighted Average [Member],Fair Value Inputs [Abstract],"
Mar  31  2016 
USD ($)", 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015,
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015,
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015,(1)
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015,(1)
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015,1
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Gain (Loss) Included in Earnings",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015,
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015,0
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015,1
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Period Increase (Decrease)",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015,
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015,(65)
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015,(65)
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015, 
874761,Interest Rate Contract [Member],"Fair Value, Net Derivative Asset (Liability) Measured on Recurring Basis, Unobservable Inputs Reconciliation, Transfers into Level 3",Sep  30  2015, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015,
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
874761,Other comprehensive income - Derivative activity [Member] | Interest Rate Contract [Member],"Fair Value, Assets and Liabilities Measured on Recurring and Nonrecurring Basis [Line Items]",Sep  30  2015, 
